symbol,composite_score,flags,criteria
CL,1.1236099186545494,None,2025-Adjusted
ADP,0.44927882458064566,None,2025-Adjusted
ADBE,0.42778077959405697,None,2025-Adjusted
AXP,0.33519613189914493,None,2025-Adjusted
CME,0.2710462477247675,None,2025-Adjusted
AME,0.22262291756875624,None,2025-Adjusted
