symbol,criteria,composite_score,status,flags
CL,2025-Adjusted,1.1255483583416293,PASSED,None
KMB,2025-Adjusted,0.661777298784799,PASSED,None
ITW,2025-Adjusted,0.510186711537538,PASSED,None
ADP,2025-Adjusted,0.44936695679391897,PASSED,None
ADBE,2025-Adjusted,0.3900722438977429,PASSED,None
CAT,2025-Adjusted,0.3835059352431289,PASSED,None
GOOGL,2025-Adjusted,0.3441878725890638,PASSED,None
GOOG,2025-Adjusted,0.34418427479067315,PASSED,None
AMAT,2025-Adjusted,0.3365466361788503,PASSED,None
AXP,2025-Adjusted,0.3354494046008568,PASSED,None
HON,2025-Adjusted,0.302107728797906,PASSED,None
HSY,2025-Adjusted,0.29596571734566457,PASSED,None
CME,2025-Adjusted,0.271574141718108,PASSED,None
HAL,2025-Adjusted,0.23866974129428714,PASSED,None
AME,2025-Adjusted,0.22357757191611244,PASSED,None
GD,2025-Adjusted,0.2044948266833192,PASSED,None
DHI,2025-Adjusted,0.20093334732803514,PASSED,None
EMN,2025-Adjusted,0.19725879422522427,PASSED,None
