symbol,composite_score,flags,criteria
CL,1.1255483583416293,None,2025-Adjusted
KMB,0.661777298784799,None,2025-Adjusted
ITW,0.510186711537538,None,2025-Adjusted
ADP,0.44936695679391897,None,2025-Adjusted
ADBE,0.3900722438977429,None,2025-Adjusted
CAT,0.3835059352431289,None,2025-Adjusted
GOOGL,0.3441878725890638,None,2025-Adjusted
GOOG,0.34418427479067315,None,2025-Adjusted
AMAT,0.3365466361788503,None,2025-Adjusted
AXP,0.3354494046008568,None,2025-Adjusted
HON,0.302107728797906,None,2025-Adjusted
HSY,0.29596571734566457,None,2025-Adjusted
CME,0.271574141718108,None,2025-Adjusted
HAL,0.23866974129428714,None,2025-Adjusted
AME,0.22357757191611244,None,2025-Adjusted
GD,0.2044948266833192,None,2025-Adjusted
DHI,0.20093334732803514,None,2025-Adjusted
EMN,0.19725879422522427,None,2025-Adjusted
