symbol,criteria,composite_score,status,flags
CL,2025-Adjusted,1.4385486407174104,PASSED,None
KMB,2025-Adjusted,0.6581670106996969,PASSED,None
ITW,2025-Adjusted,0.5101577329259841,PASSED,None
ADP,2025-Adjusted,0.4492738829737214,PASSED,None
ADBE,2025-Adjusted,0.3900989472741554,PASSED,None
GOOGL,2025-Adjusted,0.3441631854158679,PASSED,None
GOOG,2025-Adjusted,0.34415836821649887,PASSED,None
AMAT,2025-Adjusted,0.3367774353307593,PASSED,None
AXP,2025-Adjusted,0.33554537742061785,PASSED,None
HON,2025-Adjusted,0.3017618400161846,PASSED,None
HSY,2025-Adjusted,0.295803089351101,PASSED,None
CME,2025-Adjusted,0.2716379709477812,PASSED,None
HAL,2025-Adjusted,0.23918130015718914,PASSED,None
AME,2025-Adjusted,0.22389428265268632,PASSED,None
GD,2025-Adjusted,0.20441215821090047,PASSED,None
DHI,2025-Adjusted,0.2007059247718461,PASSED,None
EMN,2025-Adjusted,0.19741384427645495,PASSED,None
