symbol,composite_score,flags,criteria
CL,1.4385486407174104,None,2025-Adjusted
KMB,0.6581670106996969,None,2025-Adjusted
ITW,0.5101577329259841,None,2025-Adjusted
ADP,0.4492738829737214,None,2025-Adjusted
ADBE,0.3900989472741554,None,2025-Adjusted
GOOGL,0.3441631854158679,None,2025-Adjusted
GOOG,0.34415836821649887,None,2025-Adjusted
AMAT,0.3367774353307593,None,2025-Adjusted
AXP,0.33554537742061785,None,2025-Adjusted
HON,0.3017618400161846,None,2025-Adjusted
HSY,0.295803089351101,None,2025-Adjusted
CME,0.2716379709477812,None,2025-Adjusted
HAL,0.23918130015718914,None,2025-Adjusted
AME,0.22389428265268632,None,2025-Adjusted
GD,0.20441215821090047,None,2025-Adjusted
DHI,0.2007059247718461,None,2025-Adjusted
EMN,0.19741384427645495,None,2025-Adjusted
