symbol,composite_score,flags,criteria
CL,1.4386467976463007,None,2025-Adjusted
KMB,0.8003388144753283,None,2025-Adjusted
ITW,0.5100650561740909,None,2025-Adjusted
ADP,0.4652225984876348,None,2025-Adjusted
ADBE,0.38999604609159133,None,2025-Adjusted
GOOG,0.3425038882795506,None,2025-Adjusted
GOOGL,0.3424994015291308,None,2025-Adjusted
AMAT,0.3366435361399608,None,2025-Adjusted
AXP,0.33547282458436056,None,2025-Adjusted
HON,0.3011312910392896,None,2025-Adjusted
CME,0.2717488783527387,None,2025-Adjusted
HAL,0.2383166020564822,None,2025-Adjusted
AME,0.22392401395777362,None,2025-Adjusted
A,0.2089389433556614,None,2025-Adjusted
GD,0.20445971478650898,None,2025-Adjusted
DHI,0.20009632745229985,None,2025-Adjusted
EMN,0.19634799882677592,None,2025-Adjusted
